date,description,category,amount
2023-03-10,White project sport idea save smile.,Entertainment,4844.14
2022-07-15,Magazine price hundred.,Transportation,206.58
2022-08-30,Doctor field employee raise.,Subscriptions,1623.39
2024-01-23,Go drive store across region.,Other,4018.2
2023-12-26,Bill possible season bar air.,Transportation,2488.07
2022-12-08,Production some see building.,Utilities,24.03
2022-05-17,Person specific them.,Entertainment,3335.47
2023-02-03,Scientist radio music front.,Other,2162.55
2024-04-22,Kid type perform several movie fear.,Personal Care,2229.53
2024-03-29,Successful eat check.,Entertainment,1420.7
2023-11-27,Agency enjoy nature ten society.,Utilities,1665.78
2023-03-06,Need notice election only alone.,Shopping,142.27
2022-08-15,Thousand team open.,Personal Care,15.27
2024-01-22,Price method know TV.,Utilities,233.44
2023-12-20,Particularly worker kid ready.,Billbox,3892.74
2023-06-15,Chair protect among.,Shopping,1463.3
2024-04-11,Begin member order situation pick.,Personal Care,2068.48
2023-12-13,Cold care into quickly other still.,Entertainment,2847.99
2022-08-30,Compare small from speech.,Utilities,339.25
2023-02-03,Miss field research half.,Utilities,2365.56
2024-01-14,Eight oil form kitchen throw medical.,Entertainment,2311.33
2023-09-09,Local soon hour again.,Subscriptions,289.77
2023-02-08,Change trouble explain from.,Food,859.65
2023-04-02,Share image late.,Entertainment,1003.95
2022-07-15,True government measure.,Billbox,3364.15
2023-12-11,Total Mr almost worry early.,Billbox,2946.54
2023-08-27,None low party career.,Personal Care,1097.22
2024-03-23,Operation remain art picture.,Transportation,2812.75
2023-03-08,Someone must protect.,Entertainment,3339.81
2023-12-05,Measure red catch test.,Personal Care,705.94
2022-09-28,Speak marriage fire picture probably surface.,Subscriptions,2893.46
2023-04-24,Any never visit resource section major.,Food,2008.36
2023-04-16,Identify single century partner military.,Food,1010.51
2024-02-03,Purpose lead story blue.,Transportation,3886.85
2022-06-07,Tree staff five.,Shopping,173.93
2024-04-14,Defense bank senior.,Utilities,1378.48
2024-03-15,Nothing president thought image.,Food,3283.27
2022-06-13,Require trade art nothing then each.,Utilities,4216.23
2022-06-17,Fine cause offer pretty hundred.,Entertainment,2388.91
2022-10-25,Oil admit contain like.,Subscriptions,4971.56
2023-05-08,Draw then attention general order.,Shopping,335.03
2024-02-05,Parent someone per.,Entertainment,3895.43
2022-10-30,Why late service several.,Other,2899.28
2022-12-12,Provide recent respond we piece base perhaps.,Subscriptions,4608.08
2022-08-21,Instead page throughout.,Subscriptions,2718.92
2022-08-16,Each these memory available bring.,Utilities,4805.99
2023-10-14,Cut space go summer life.,Personal Care,3303.01
2023-07-22,Deal change quickly general audience success.,Transportation,3365.69
2023-05-26,Firm late surface.,Other,2949.37
2023-05-17,Her everything source.,Transportation,4955.2
2024-02-18,Let form sign interest.,Other,3855.64
2024-04-13,Allow mother hundred.,Subscriptions,4164.86
2024-03-13,Trade significant itself operation than.,Entertainment,4425.25
2022-12-11,Surface particularly stage test later land.,Transportation,1350.72
2023-04-13,Mouth memory necessary garden.,Billbox,950.97
2023-02-05,Civil control use Democrat while best.,Subscriptions,2053.25
2023-02-13,Western media any.,Shopping,2426.85
2023-01-19,Music sport reality.,Other,2845.14
2023-02-22,Picture parent sign which little.,Transportation,3911.46
2023-03-14,Front care several political radio.,Entertainment,39.9
2023-08-03,Interview peace clearly story full try.,Transportation,1391.17
2023-03-04,Sea fly girl society factor.,Other,4219.95
2023-04-03,Week way partner southern fast.,Transportation,3951.69
2023-12-28,Gun sort his man.,Other,1879.69
2022-11-17,Former audience including across.,Shopping,2539.24
2023-08-26,Near child large.,Other,356.66
2023-04-19,During consumer someone begin keep.,Other,302.92
2022-11-07,Force arm various director order.,Shopping,2903.3
2023-08-23,Financial woman network policy least day.,Billbox,2837.65
2022-09-01,Although state anyone surface.,Billbox,4841.73
2022-08-13,Possible small show thank health anyone.,Personal Care,4740.02
2023-02-22,Economy his person wear.,Food,804.14
2023-11-28,Purpose walk establish.,Utilities,2394.17
2023-05-20,Manager price news another professor.,Transportation,4647.85
2022-09-25,Discover contain nice story.,Shopping,2314.15
2022-05-21,Into son hold first.,Entertainment,3336.59
2022-10-09,Travel people action like.,Utilities,4291.17
2023-12-26,Run model than fire hotel miss.,Personal Care,350.71
2022-07-31,Write commercial your control garden.,Subscriptions,4076.88
2023-07-18,Study worry remember edge east.,Other,3197.42
2023-02-27,Serious authority put.,Subscriptions,2511.42
2023-12-01,More loss media professor unit system.,Entertainment,4279.14
2023-06-19,Cause low staff thousand.,Shopping,2340.17
2023-05-26,Home reach interview ground do.,Entertainment,3333.29
2023-04-01,Discuss difficult seek.,Utilities,3714.84
2022-12-06,Health successful activity when result.,Entertainment,4538.75
2022-08-12,Leave cell fast reach.,Transportation,1858.2
2023-05-29,Look old around thing say law.,Other,3642.85
2024-04-12,Society cold generation prepare you after.,Shopping,219.44
2023-09-28,Onto behind thing management source window.,Food,3753.68
2022-05-16,Condition measure body relationship federal.,Utilities,903.86
2023-12-22,Wait enough some.,Food,1905.81
2023-07-22,Success prevent step single.,Shopping,313.56
2023-10-23,Smile rich woman order.,Entertainment,3733.54
2023-05-27,Before effect specific.,Transportation,299.48
2023-05-31,Book song under.,Subscriptions,2074.19
2023-12-28,Someone several structure movie offer.,Subscriptions,1418.15
2023-03-01,Worry risk minute and field.,Shopping,1458.72
2023-03-25,Enjoy quality successful.,Transportation,551.37
2023-03-20,Specific whom general.,Subscriptions,3813.58
2023-11-26,Machine near three.,Transportation,3393.91
2024-03-04,Its option suggest past agency.,Entertainment,1355.92
2022-07-07,Laugh very instead discuss establish.,Entertainment,1197.8
2022-11-13,Speak reflect city cell give.,Utilities,867.06
2023-01-13,Stay ask first how force animal.,Billbox,2454.83
2022-11-10,Everything music cost.,Personal Care,1719.26
2022-10-05,Data ground lose deal.,Transportation,1947.13
2022-09-19,Beat total ahead serious.,Billbox,1680.46
2022-07-30,Prove skin operation environment beat.,Billbox,616.18
2023-04-04,Kind sing finish today.,Entertainment,3501.22
2023-08-05,See performance ball even.,Food,4762.82
2022-12-29,Still gas lose suggest.,Shopping,2076.74
2022-12-12,Old generation than animal.,Subscriptions,4849.67
2022-10-18,Shoulder finally fear improve.,Personal Care,4846.68
2023-07-20,Last point mean positive.,Personal Care,1505.26
2023-08-16,Just I relationship road.,Personal Care,4903.89
2023-12-16,Leave out real attack.,Transportation,3973.91
2023-07-19,Run property lead.,Shopping,131.67
2023-05-29,Above education wide life.,Utilities,1969.33
2022-10-13,Edge process serve measure like in.,Food,4874.64
2022-09-20,Night traditional five accept want he.,Subscriptions,3230.16
2022-10-06,May for around test way.,Other,3224.32
2022-11-21,Keep father study amount billion write.,Shopping,4276.02
2022-08-06,Television son lot six.,Other,4668.61
2023-03-05,Arrive smile face strong.,Subscriptions,3749.63
2023-08-19,Represent ground fire.,Billbox,4147.61
2023-11-06,Purpose no major morning by quite.,Transportation,4462.47
2023-11-09,Eat consider many and human upon.,Other,509.87
2022-12-04,Agreement science high clearly hospital employee.,Shopping,22.31
2023-06-14,Management key participant.,Food,2444.99
2024-02-14,Protect special sound.,Entertainment,4538.38
2022-08-28,Skill could baby film develop.,Shopping,186.97
2023-12-01,Value law road push doctor guy.,Other,2802.08
2023-09-17,Few environmental magazine service would.,Subscriptions,3100.28
2023-02-24,Particular PM can book.,Transportation,949.63
2022-05-27,Shoulder newspaper television to this.,Utilities,3734.28
2022-10-24,Sign laugh play.,Transportation,2310.3
2023-02-08,Leave send team.,Subscriptions,695.02
2024-02-03,Show process dream.,Other,3902.41
2022-05-15,Responsibility early good produce goal.,Transportation,3034.59
2023-09-07,Month chance training owner total condition.,Food,1007.39
2022-07-09,Sort others move.,Transportation,3176.41
2022-07-19,Detail community a later.,Other,3687.06
